clip_id,source_file,start_sec,end_sec,duration_sec
clip_0151,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,423.264,443.264,20.0
clip_0152,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,443.264,463.264,20.0
clip_0153,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,463.264,483.264,20.0
clip_0154,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,483.264,503.264,20.0
clip_0155,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,503.264,523.264,20.0
clip_0156,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,523.264,543.264,20.0
clip_0157,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,543.264,563.264,20.0
clip_0158,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,563.264,583.264,20.0
clip_0159,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,583.264,603.264,20.0
clip_0160,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,603.264,623.264,20.0
clip_0161,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,623.264,643.264,20.0
clip_0162,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,643.264,663.264,20.0
clip_0163,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,663.264,683.264,20.0
clip_0164,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,683.264,703.264,20.0
clip_0165,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,703.264,723.264,20.0
clip_0166,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,723.264,743.264,20.0
clip_0167,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,743.264,763.264,20.0
clip_0168,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,763.264,783.264,20.0
clip_0169,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,783.264,803.264,20.0
clip_0170,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,803.264,823.264,20.0
clip_0171,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,823.264,843.264,20.0
clip_0172,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,843.264,863.264,20.0
clip_0173,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,863.264,883.264,20.0
clip_0174,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,883.264,903.264,20.0
clip_0175,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,903.264,923.264,20.0
clip_0176,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,923.264,943.264,20.0
clip_0177,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,943.264,963.264,20.0
clip_0178,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,963.264,983.264,20.0
clip_0179,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,983.264,1003.264,20.0
clip_0180,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1003.264,1023.264,20.0
clip_0181,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1023.264,1043.264,20.0
clip_0182,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1043.264,1063.264,20.0
clip_0183,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1063.264,1083.264,20.0
clip_0184,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1083.264,1103.264,20.0
clip_0185,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1103.264,1123.264,20.0
clip_0186,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1123.264,1143.264,20.0
clip_0187,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1143.264,1163.264,20.0
clip_0188,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1163.264,1183.264,20.0
clip_0189,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1183.264,1203.264,20.0
clip_0190,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1203.264,1223.264,20.0
clip_0191,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1223.264,1243.264,20.0
clip_0192,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1243.264,1263.264,20.0
clip_0193,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1263.264,1283.264,20.0
clip_0194,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1283.264,1303.264,20.0
clip_0195,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1303.264,1323.264,20.0
clip_0196,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1323.264,1343.264,20.0
clip_0197,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1343.264,1363.264,20.0
clip_0198,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1363.264,1383.264,20.0
clip_0199,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1383.264,1403.264,20.0
clip_0200,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1403.264,1423.264,20.0
clip_0201,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1423.264,1443.264,20.0
clip_0202,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1443.264,1463.264,20.0
clip_0203,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1463.264,1483.264,20.0
clip_0204,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1483.264,1503.264,20.0
clip_0205,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1503.264,1523.264,20.0
clip_0206,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1523.264,1543.264,20.0
clip_0207,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1543.264,1563.264,20.0
clip_0208,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1563.264,1583.264,20.0
clip_0209,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1583.264,1603.264,20.0
clip_0210,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1603.264,1623.264,20.0
clip_0211,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1623.264,1643.264,20.0
clip_0212,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1643.264,1663.264,20.0
clip_0213,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1663.264,1683.264,20.0
clip_0214,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1683.264,1703.264,20.0
clip_0215,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1703.264,1723.264,20.0
clip_0216,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1723.264,1743.264,20.0
clip_0217,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1743.264,1763.264,20.0
clip_0218,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1763.264,1783.264,20.0
clip_0219,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1783.264,1787.552,4.288
clip_0220,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,1790.048,1810.048,20.0
clip_0221,Charles_Leclerc_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,0.256,20.256,20.0
clip_0222,Charles_Leclerc_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,20.256,40.256,20.0
